,Ad No,Name,Price,priceNotes,Model Year,Location,Mileage,Registered City,Engine Type,Engine Capacity,Transmission,Color,Assembly,Body Type,Last Updated,URL, ABS, AM/FM Radio, Air Bags, Air Conditioning,AM/FM Radio,Air Bags,Air Conditioning,Alloy Rims,CD Player,Cassette Player,Climate Control,Cruise Control,DVD Player,Front Camera,Front Speakers,Immobilizer Key,Keyless Entry,Navigation System,Power Locks,Power Mirrors,Power Steering,Power Windows,Rear AC Vents,Rear Camera,Rear Speakers,Steering Switches,Sun Roof,USB and Auxillary Cable,AgeScore,MileageScore,PriceScore,CarValueScore
0,7548009,Toyota Corolla Altis Grande CVT-i 1.8 2020,5750000.0,,2020,"
                      ",48300,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-karachi-7548009,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.85,0.7585,-190.66666666666666,-63.01938888888889
1,7547540,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,7500000.0,,2022,"
                      ",600,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7547540,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.997,-249.0,-82.351
2,7499742,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2021,5995000.0,,2021,"
                      ",22000,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7499742,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.89,-198.83333333333334,-65.68111111111112
3,7547438,Toyota Corolla Altis Grande CVT-i 1.8 2016,4350000.0,,2016,"
                      ",84000,,Petrol,1798 cc,Automatic,Bronze Mica,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-karachi-7547438,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0.65,0.5800000000000001,-144.0,-47.59
4,7547261,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,6990000.000000001,,2022,"
                      ",7000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-7547261,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.95,0.965,-232.00000000000003,-76.69500000000001
5,7504138,Toyota Corolla Altis Grande CVT-i 1.8 2017,5250000.0,,2017,"
                      ",12000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7504138,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.94,-174.0,-57.45333333333334
6,7547058,Toyota Corolla Altis Grande CVT-i 1.8 2015,3700000.0,,2015,"
                      ",109000,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-10,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-7547058,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.6,0.45499999999999996,-122.33333333333333,-40.426111111111105
7,7548709,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,6350000.0,,2021,"
                      ",20000,,Petrol,1799 cc,Automatic,Super White,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7548709,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9,-210.66666666666666,-69.62222222222222
8,7549928,Toyota Corolla Altis Grande CVT-i 1.8 2017,3550000.0,,2017,"
                      ",89000,,Petrol,1798 cc,Automatic,Silver Metallic,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7549928,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.5549999999999999,-117.33333333333333,-38.69277777777778
9,7548929,Toyota Corolla Altis Grande CVT-i 1.8 2019,4970000.0,,2019,"
                      ",75000,,Petrol,1798 cc,Automatic,Super white,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-7548929,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.8,0.625,-164.66666666666666,-54.413888888888884
10,7413386,Toyota Corolla Altis Grande CVT-i 1.8 2017,4050000.0,,2017,"
                      ",70000,,Petrol,1800 cc,Automatic,White,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-7413386,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.7,0.65,-134.0,-44.21666666666667
11,7549651,Toyota Corolla Altis Grande CVT-i 1.8 2014,3975000.0,,2014,"
                      ",47900,,Petrol,1800 cc,Automatic,Bronze,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-karachi-7549651,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.55,0.7605,-131.5,-43.3965
12,7549846,Toyota Corolla Altis Grande CVT-i 1.8 2015,3725000.0,,2015,"
                      ",49000,,Petrol,1798 cc,Automatic,Attitude Black,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-karachi-7549846,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.6,0.755,-123.16666666666667,-40.60388888888889
13,7074886,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,7500000.0,,2021,"
                      ",2300,,Petrol,1800 cc,Automatic,Silver,Local,Sedan,2023-06-11,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-7074886,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0.9,0.9885,-249.0,-82.3705
